altitude_m,pressure_kpa,ambient_temp_c,air_density_kg_m3,density_ratio,cooling_mode,is_forced,theta_base,load_power_w,electrode_gap_mm,delta_t_diurnal,paschen_v_bd,t_baseline_c,t_reference_c,thermal_residual_c
4981.5,54.15,-5.19,0.704,0.5747,forced,1.0,6.013,8.79,1.09,29.0,811.4,77.14,92.64,15.503
2515.5,74.54,4.17,0.9363,0.7643,natural,0.0,2.678,39.77,3.31,32.9,2889.1,125.99,142.6,16.611
1164.0,88.1,16.89,1.0582,0.8638,forced,1.0,3.262,2.32,1.55,49.5,1700.0,25.41,25.84,0.433
1709.1,82.41,18.07,0.9858,0.8047,natural,0.0,1.245,21.74,2.97,61.0,2867.7,48.25,51.09,2.847
3031.0,69.83,7.0,0.8684,0.7089,forced,1.0,6.246,65.24,7.84,15.6,5914.1,543.63,675.47,131.84
3188.0,68.45,6.0,0.8542,0.6973,forced,1.0,1.285,17.55,3.65,51.0,2922.3,36.1,40.88,4.778
4833.5,55.23,-10.26,0.7319,0.5975,natural,0.0,5.196,6.73,7.05,27.7,4350.2,35.0,39.68,4.676
4748.1,55.86,-6.1,0.7287,0.5949,forced,1.0,3.87,20.23,7.85,59.6,4838.7,112.53,139.99,27.456
3488.2,65.86,-1.39,0.8443,0.6892,forced,1.0,1.15,62.41,8.26,25.3,5879.8,95.28,120.27,24.991
4684.7,56.33,-17.71,0.7683,0.6272,natural,0.0,0.81,44.86,8.8,48.2,5405.7,28.17,40.08,11.917
1150.6,88.24,14.34,1.0693,0.8729,natural,0.0,6.133,44.78,6.18,19.1,5891.9,308.29,329.56,21.266
300.4,97.77,19.59,1.1635,0.9498,forced,1.0,5.03,2.04,3.17,62.7,3537.9,30.29,30.81,0.522
5241.8,52.3,-10.57,0.6938,0.5664,natural,0.0,4.713,36.47,1.93,10.2,1302.0,217.79,281.1,63.307
453.3,96.0,16.29,1.1554,0.9432,forced,1.0,3.3,21.39,5.29,22.8,5521.7,90.25,92.38,2.131
1480.1,84.76,5.81,1.0585,0.8641,forced,1.0,2.16,26.54,1.48,47.2,1582.3,70.25,75.02,4.768
4171.9,60.27,-3.18,0.7777,0.6349,forced,1.0,4.675,45.7,9.15,56.9,5954.9,304.15,390.05,85.902
2456.7,75.09,-3.85,0.9714,0.7929,forced,1.0,4.267,65.83,4.7,64.6,3983.4,334.35,391.16,56.815
5257.9,52.18,-5.42,0.679,0.5543,forced,1.0,4.94,15.26,8.79,19.5,5042.9,115.45,144.67,29.219
1787.9,81.61,6.99,1.0149,0.8285,forced,1.0,2.885,58.08,7.24,26.9,6335.6,201.78,227.38,25.603
71.2,100.47,21.01,1.1899,0.9713,forced,1.0,6.425,5.57,8.64,59.1,8984.3,57.64,57.39,-0.251
1803.9,81.45,11.63,0.9964,0.8134,forced,1.0,1.182,25.85,8.9,11.8,7624.1,47.67,51.35,3.683
3468.5,66.03,1.0,0.8391,0.685,natural,0.0,1.254,17.98,1.01,50.3,900.2,28.25,31.35,3.099
2255.6,77.0,-3.12,0.9934,0.8109,forced,1.0,6.026,68.84,7.39,33.3,6125.1,487.42,563.29,75.861
3209.2,68.26,4.08,0.8578,0.7002,forced,1.0,4.492,14.99,2.65,47.9,2188.5,93.65,106.66,13.006
5259.6,52.17,-12.37,0.6969,0.5689,natural,0.0,2.66,44.24,9.9,38.9,5610.5,143.65,191.21,47.559
5474.9,50.68,-19.4,0.6957,0.5679,forced,1.0,5.143,14.03,7.89,44.5,4456.7,94.05,119.82,25.769
1595.8,83.57,5.13,1.0461,0.854,natural,0.0,3.381,36.56,0.54,46.7,636.8,138.9,149.02,10.118
2772.8,72.16,-0.03,0.9204,0.7513,forced,1.0,0.92,32.18,9.31,44.7,7118.2,37.2,42.74,5.541
3294.9,67.52,-9.21,0.8912,0.7275,forced,1.0,4.511,5.02,3.28,46.6,2618.1,20.0,22.73,2.73
5694.7,49.19,-6.68,0.6431,0.525,forced,1.0,2.186,62.29,4.46,41.3,2597.4,221.3,320.97,99.663
5991.7,47.23,-10.03,0.6254,0.5105,forced,1.0,1.457,58.95,6.32,49.3,3422.9,137.09,202.08,64.99
1412.4,85.47,13.53,1.0386,0.8478,forced,1.0,2.084,22.28,9.2,52.7,8213.6,66.53,70.26,3.738
4361.9,58.79,-9.69,0.7773,0.6346,forced,1.0,3.514,46.82,9.31,53.3,5912.9,227.05,293.24,66.183
2268.2,76.88,4.07,0.9661,0.7887,natural,0.0,1.084,28.47,5.85,56.9,4954.9,38.84,41.98,3.142
48.6,100.74,24.23,1.1802,0.9634,forced,1.0,5.834,58.15,3.51,27.4,3986.5,373.78,382.44,8.667
55.5,100.66,30.19,1.156,0.9437,forced,1.0,3.992,52.55,3.15,51.0,3617.6,249.9,257.82,7.924
2763.4,72.24,-1.38,0.9261,0.756,forced,1.0,2.47,8.6,3.96,62.1,3297.5,25.2,27.64,2.443
2930.0,70.73,-5.75,0.9215,0.7523,forced,1.0,4.716,63.63,2.21,30.2,1923.7,371.04,447.47,76.422
135.4,99.71,28.41,1.1519,0.9403,natural,0.0,5.384,15.1,6.86,52.8,7238.3,112.24,113.29,1.05
4121.6,60.67,-17.51,0.8268,0.6749,forced,1.0,4.299,14.71,5.51,26.0,3793.7,69.11,83.25,14.146
1764.0,81.85,2.48,1.0345,0.8445,forced,1.0,1.954,55.56,7.85,19.7,6835.0,126.79,141.39,14.606
3359.4,66.96,-3.32,0.8645,0.7057,forced,1.0,1.429,15.38,1.39,34.6,1214.9,25.72,30.38,4.66
1805.5,81.43,-1.1,1.0428,0.8512,forced,1.0,5.701,10.93,4.3,54.4,3952.0,69.82,74.33,4.505
1002.8,89.84,20.15,1.0671,0.8711,forced,1.0,2.138,26.5,2.78,26.9,2917.1,83.41,88.39,4.976
2443.0,75.22,9.26,0.9279,0.7574,natural,0.0,0.914,63.23,5.58,26.2,4656.4,75.7,87.52,11.823
1393.6,85.66,7.49,1.0634,0.8681,forced,1.0,4.465,14.91,4.95,25.3,4695.0,82.02,86.47,4.447
3208.8,68.27,6.82,0.8494,0.6934,forced,1.0,1.671,26.75,4.77,22.0,3703.3,66.75,77.76,11.008
1193.0,87.79,20.94,1.0399,0.8489,forced,1.0,6.449,22.9,3.5,43.6,3513.4,189.26,202.5,13.24
3050.4,69.66,-0.51,0.8901,0.7266,forced,1.0,5.757,27.99,7.41,23.4,5604.9,207.58,241.76,34.183
944.3,90.48,11.16,1.1087,0.9051,forced,1.0,4.268,54.14,5.07,61.4,5046.2,261.44,277.67,16.227
4025.8,61.43,7.39,0.7629,0.6227,forced,1.0,5.553,31.6,2.42,29.0,1836.9,263.7,327.9,64.202
4523.6,57.55,-5.08,0.7478,0.6105,forced,1.0,3.482,57.45,5.7,39.8,3727.6,291.8,390.05,98.243
662.4,93.62,17.23,1.1231,0.9168,forced,1.0,5.294,48.75,6.17,32.5,6207.0,293.9,309.2,15.297
2806.8,71.85,9.94,0.8842,0.7218,natural,0.0,4.485,28.36,0.7,62.9,707.7,159.66,180.87,21.203
425.2,96.32,19.05,1.1484,0.9374,forced,1.0,0.963,33.55,2.44,33.3,2759.4,53.08,54.13,1.049
3589.1,65.01,-6.36,0.8489,0.693,forced,1.0,6.208,53.36,2.8,41.0,2201.2,437.87,544.64,106.771
1586.4,83.66,10.17,1.0287,0.8398,natural,0.0,5.707,41.04,2.86,52.0,2805.4,265.75,288.52,22.77
3165.7,68.64,5.65,0.8577,0.7002,natural,0.0,6.234,65.39,2.77,19.4,2285.7,492.85,605.56,112.709
3104.8,69.18,-12.13,0.9233,0.7537,forced,1.0,4.969,70.12,3.08,11.8,2531.8,424.73,516.54,91.81
5546.1,50.19,-17.78,0.6847,0.5589,natural,0.0,3.149,54.39,3.0,35.0,1854.7,211.31,291.02,79.715
3294.5,67.52,6.88,0.84,0.6857,forced,1.0,1.98,74.21,8.9,40.3,6433.9,205.58,262.06,56.483
3498.0,65.78,-5.81,0.8572,0.6997,forced,1.0,1.826,45.55,3.54,25.8,2738.5,104.86,129.27,24.408
2409.9,75.53,13.61,0.9176,0.749,natural,0.0,1.626,4.91,3.82,35.4,3323.6,22.83,23.67,0.836
5694.5,49.19,-8.53,0.6476,0.5286,natural,0.0,2.057,38.85,3.03,43.8,1839.5,101.43,137.32,35.891
4663.1,56.5,-10.7,0.7499,0.6122,forced,1.0,3.939,18.79,9.69,63.5,5915.5,98.89,122.46,23.57
1712.4,82.37,5.46,1.03,0.8408,forced,1.0,4.697,26.36,5.59,43.1,5056.6,147.71,160.18,12.469
5065.3,53.55,-14.65,0.7217,0.5891,forced,1.0,2.59,37.78,6.3,34.7,3822.6,134.76,179.26,44.496
2594.4,73.8,19.12,0.8796,0.7181,forced,1.0,3.928,23.54,7.49,11.2,5964.3,139.63,159.06,19.432
4972.0,54.22,-1.07,0.6942,0.5667,natural,0.0,2.745,24.6,3.67,27.1,2381.4,88.64,109.01,20.371
4937.3,54.47,-11.34,0.7248,0.5917,forced,1.0,4.77,31.35,9.7,29.7,5729.8,216.2,279.07,62.87
1133.2,88.43,8.99,1.0919,0.8914,forced,1.0,6.434,22.91,1.95,36.2,2092.7,170.61,178.85,8.232
4206.8,60.0,-6.64,0.7842,0.6402,forced,1.0,4.727,14.37,4.85,53.0,3346.3,90.44,108.23,17.786
1743.9,82.06,10.13,1.0091,0.8238,natural,0.0,1.136,57.89,1.88,52.7,1898.9,82.61,91.21,8.6
1785.0,81.64,0.94,1.0377,0.8471,forced,1.0,3.52,30.85,8.01,56.5,6945.3,124.96,136.01,11.045
1778.1,81.71,8.92,1.0091,0.8238,forced,1.0,5.191,62.72,1.52,25.9,1564.3,389.12,441.73,52.611
4353.4,58.85,-0.36,0.7516,0.6135,natural,0.0,3.891,66.44,5.76,29.1,3840.3,329.65,435.46,105.809
1379.0,85.82,0.24,1.0936,0.8927,forced,1.0,6.221,56.82,1.5,18.3,1611.2,387.33,416.98,29.651
5.4,101.26,24.92,1.1835,0.9661,natural,0.0,1.112,30.96,4.8,57.2,5312.1,59.95,60.62,0.668
4291.4,59.33,0.35,0.7558,0.6169,forced,1.0,2.46,54.66,3.16,45.9,2259.9,198.19,261.12,62.93
1027.1,89.58,9.96,1.1023,0.8998,forced,1.0,2.058,13.33,9.08,14.3,8466.8,39.81,41.15,1.338
626.9,94.02,26.09,1.0945,0.8935,forced,1.0,5.175,50.26,1.0,26.7,1227.4,310.74,331.86,21.118
1425.1,85.34,6.59,1.0627,0.8675,forced,1.0,3.786,31.64,6.67,18.4,6130.1,140.8,151.19,10.396
2279.4,76.77,7.83,0.9519,0.777,forced,1.0,1.589,49.86,7.1,63.3,5895.3,104.75,120.69,15.938
2855.4,71.41,-0.4,0.912,0.7445,forced,1.0,2.428,57.1,8.95,27.9,6800.2,175.13,210.6,35.465
267.4,98.15,16.42,1.1808,0.9639,forced,1.0,3.779,43.08,8.84,37.3,8975.7,184.06,187.63,3.566
5823.4,48.33,-21.56,0.6692,0.5463,forced,1.0,6.478,48.9,9.78,27.5,5180.9,492.25,683.88,191.629
4296.4,59.3,-3.74,0.7667,0.6259,forced,1.0,2.876,17.59,2.91,36.1,2098.0,69.86,84.78,14.922
1939.2,80.1,12.49,0.9769,0.7974,forced,1.0,1.694,45.27,3.11,64.9,2912.1,104.39,117.52,13.129
1912.2,80.37,7.18,0.9987,0.8153,forced,1.0,3.633,35.61,4.27,25.8,3885.0,159.55,176.93,17.382
2691.3,72.9,-5.65,0.9495,0.7751,forced,1.0,2.568,33.25,5.61,25.5,4543.8,99.04,113.37,14.33
3757.5,63.61,-2.0,0.8173,0.6672,forced,1.0,4.026,31.95,3.99,30.4,2959.3,175.82,214.31,38.493
878.2,91.21,16.82,1.0958,0.8945,forced,1.0,3.46,24.7,7.53,19.3,7264.4,110.25,115.64,5.381
1133.6,88.43,11.33,1.0829,0.884,forced,1.0,4.73,24.29,0.58,50.6,718.5,138.14,145.81,7.67
5156.6,52.9,-2.31,0.6804,0.5554,forced,1.0,6.011,53.08,0.67,30.9,517.9,508.42,700.26,191.841
1537.5,84.17,0.62,1.071,0.8743,forced,1.0,1.943,42.72,7.3,41.9,6567.3,93.04,100.34,7.302
2281.2,76.76,-8.13,1.009,0.8237,forced,1.0,5.481,4.19,8.89,46.4,7219.3,18.67,20.14,1.47
5227.6,52.4,-18.36,0.7164,0.5848,forced,1.0,6.211,5.54,7.88,11.9,4583.4,34.51,43.19,8.678
3978.9,61.81,-1.6,0.7929,0.6473,forced,1.0,2.93,43.62,1.61,45.4,1287.3,179.37,226.98,47.615
2050.3,79.0,0.34,1.0063,0.8215,forced,1.0,1.448,63.78,9.38,39.3,7781.3,108.42,124.31,15.89
4102.2,60.82,-12.55,0.8131,0.6637,forced,1.0,5.485,5.21,5.46,14.6,3767.6,27.12,32.08,4.96
118.1,99.91,24.94,1.1677,0.9532,natural,0.0,4.796,39.03,7.55,16.8,7908.1,216.66,221.0,4.346
4413.9,58.39,-5.91,0.7611,0.6213,forced,1.0,2.012,64.13,2.41,34.2,1748.3,182.95,245.45,62.501
2922.1,70.8,3.27,0.8924,0.7284,forced,1.0,3.338,2.32,5.71,29.0,4501.4,13.27,13.88,0.618
4879.1,54.9,-7.03,0.7186,0.5866,natural,0.0,4.095,22.13,3.64,34.1,2387.6,111.3,135.19,23.893
5727.8,48.97,-19.78,0.6733,0.5496,forced,1.0,1.768,69.15,9.76,45.0,5231.7,177.6,261.57,83.972
5554.7,50.13,-18.38,0.6855,0.5596,forced,1.0,4.875,7.95,5.0,18.5,2930.3,43.27,55.15,11.882
5455.6,50.81,-10.6,0.6742,0.5504,forced,1.0,4.732,46.31,7.68,46.4,4356.5,342.78,470.46,127.685
3073.0,69.46,-8.04,0.9127,0.7451,forced,1.0,5.857,39.04,6.23,55.0,4783.6,281.27,331.15,49.873
2160.9,77.92,-6.9,1.0195,0.8323,forced,1.0,4.033,13.07,1.4,10.2,1390.9,54.17,58.36,4.19
2790.2,72.0,-0.74,0.9207,0.7516,forced,1.0,4.074,5.1,5.66,30.3,4529.5,25.38,27.7,2.318
4139.4,60.53,-1.32,0.7757,0.6332,forced,1.0,4.331,38.69,5.63,25.1,3858.5,240.16,303.38,63.223
5304.0,51.86,-12.94,0.6943,0.5668,forced,1.0,2.361,55.66,7.3,33.8,4239.9,194.01,270.68,76.669
1241.9,87.27,17.07,1.0475,0.8551,natural,0.0,5.124,14.94,3.56,43.8,3547.9,99.85,103.69,3.845
5509.2,50.44,-27.91,0.7165,0.5849,forced,1.0,4.576,52.47,8.68,20.3,4832.2,340.82,467.61,126.787
4891.1,54.81,-9.9,0.7253,0.5921,forced,1.0,5.583,41.89,6.41,17.4,3967.2,345.76,455.37,109.607
5873.1,48.01,-14.25,0.646,0.5273,forced,1.0,5.181,28.12,0.87,50.1,601.6,228.86,306.76,77.893
5281.5,52.02,-22.43,0.7228,0.59,forced,1.0,4.44,50.5,7.21,47.7,4207.2,319.54,433.24,113.694
1679.6,82.71,14.25,1.0025,0.8184,forced,1.0,1.717,16.01,9.12,35.3,7902.9,46.53,49.16,2.623
635.7,93.92,15.2,1.1347,0.9263,forced,1.0,6.039,35.36,6.99,37.6,6970.8,242.21,251.48,9.267
673.4,93.49,34.05,1.0602,0.8655,forced,1.0,2.893,42.1,4.11,24.8,4297.4,170.77,182.59,11.818
1747.3,82.02,-4.42,1.0633,0.868,natural,0.0,6.297,35.48,6.11,28.1,5461.5,235.4,251.57,16.169
3685.1,64.21,4.26,0.8064,0.6582,forced,1.0,3.091,31.02,2.13,27.6,1703.5,138.21,167.66,29.45
4825.9,55.29,-13.73,0.7425,0.6061,forced,1.0,1.632,56.09,6.21,49.9,3884.4,122.89,168.32,45.435
5395.5,51.22,-24.77,0.7185,0.5865,natural,0.0,5.844,49.9,5.26,40.6,3123.3,355.95,472.25,116.304
3742.5,63.74,-7.49,0.8358,0.6823,forced,1.0,5.332,48.68,0.75,50.1,673.2,344.94,430.46,85.522
33.8,100.92,21.45,1.1934,0.9742,forced,1.0,5.282,67.1,3.56,42.5,4043.0,383.35,390.11,6.76
1117.9,88.6,18.96,1.0566,0.8625,forced,1.0,1.31,74.53,2.32,40.0,2448.3,128.82,141.41,12.589
598.4,94.34,26.44,1.097,0.8955,forced,1.0,5.812,43.41,4.21,27.6,4428.5,302.0,320.53,18.531
2179.9,77.73,14.36,0.9419,0.7689,forced,1.0,4.199,27.42,2.8,31.8,2577.9,156.47,175.64,19.167
3008.1,70.04,-5.34,0.911,0.7437,natural,0.0,3.481,58.86,8.43,58.8,6329.4,232.24,275.33,43.097
260.4,98.24,25.09,1.1475,0.9367,forced,1.0,6.005,12.37,7.13,41.7,7390.4,103.38,105.23,1.848
2090.9,78.6,8.76,0.9713,0.7929,forced,1.0,4.596,39.44,7.53,38.8,6347.7,227.03,256.87,29.836
1075.1,89.06,9.08,1.0993,0.8974,forced,1.0,1.558,40.29,3.93,12.9,3949.5,77.55,82.09,4.544
3882.4,62.59,-6.51,0.8177,0.6675,forced,1.0,3.761,73.79,0.53,46.9,492.6,377.01,492.28,115.276
2785.6,72.04,-2.37,0.9268,0.7566,forced,1.0,4.429,74.34,2.58,47.7,2242.0,409.2,496.41,87.207
2971.9,70.36,0.91,0.8944,0.7301,forced,1.0,5.922,60.34,7.68,48.0,5842.0,460.49,561.03,100.536
2566.2,74.06,-1.06,0.9483,0.7741,forced,1.0,2.395,36.53,6.23,15.0,5066.0,106.34,121.89,15.552
5736.1,48.91,-23.45,0.6824,0.5571,forced,1.0,5.327,41.95,5.62,26.5,3178.4,333.39,455.45,122.055
1288.4,86.77,14.5,1.0509,0.8579,forced,1.0,5.359,25.34,3.16,30.4,3177.6,168.02,179.15,11.13
3100.0,69.22,3.62,0.8713,0.7112,natural,0.0,1.53,62.58,1.22,55.5,1111.6,117.14,141.73,24.588
4416.1,58.37,-9.83,0.7722,0.6304,forced,1.0,0.898,56.5,7.96,63.9,5097.8,63.58,85.77,22.194
3341.1,67.12,6.49,0.8362,0.6826,forced,1.0,4.114,58.31,0.87,32.8,801.3,332.11,416.54,84.424
5574.1,50.0,-17.79,0.6821,0.5568,forced,1.0,5.3,12.12,1.06,40.5,739.2,84.85,107.75,22.906
2267.8,76.89,3.44,0.9684,0.7905,forced,1.0,3.96,31.1,3.3,10.4,2961.3,152.09,170.67,18.583
2782.1,72.07,5.88,0.8998,0.7346,forced,1.0,5.436,41.23,5.94,10.5,4739.1,292.72,345.45,52.727
531.1,95.1,15.75,1.1468,0.9362,forced,1.0,4.347,11.1,9.93,14.1,9691.9,66.62,67.88,1.263
3654.0,64.47,-3.24,0.8321,0.6793,natural,0.0,4.524,28.91,1.36,49.6,1150.3,155.44,181.94,26.508
1729.3,82.2,-6.36,1.0734,0.8762,forced,1.0,0.96,8.38,5.0,19.8,4562.2,2.59,3.01,0.423
961.9,90.29,13.85,1.096,0.8947,forced,1.0,1.305,72.0,6.22,51.7,6049.7,116.55,124.73,8.181
3267.2,67.76,-12.2,0.9046,0.7384,natural,0.0,4.933,56.84,8.32,33.8,6073.1,314.09,373.8,59.708
3193.9,68.4,-8.09,0.8989,0.7338,forced,1.0,5.148,47.31,7.05,56.7,5274.7,303.94,364.2,60.264
455.2,95.97,9.03,1.1849,0.9672,forced,1.0,3.89,16.95,8.17,57.9,8192.0,76.77,77.57,0.796
4189.3,60.13,-13.49,0.8068,0.6586,forced,1.0,4.164,26.39,5.46,58.4,3732.5,140.0,172.54,32.537
3742.6,63.73,-7.62,0.8362,0.6826,forced,1.0,4.302,12.55,4.62,39.9,3384.5,65.64,76.71,11.064
1134.1,88.42,9.71,1.089,0.889,forced,1.0,1.398,41.14,6.38,53.4,6075.4,72.92,77.0,4.085
2816.6,71.76,5.68,0.8966,0.7319,forced,1.0,4.607,61.9,9.06,46.4,6908.6,371.74,451.76,80.025
4321.9,59.1,-6.76,0.7728,0.6309,forced,1.0,3.527,3.39,5.73,20.3,3837.2,10.53,12.61,2.085
3176.6,68.55,-12.05,0.9146,0.7466,forced,1.0,4.234,9.54,6.25,31.0,4742.3,38.99,44.38,5.391
2372.9,75.88,5.08,0.9501,0.7756,forced,1.0,4.01,18.74,3.71,62.9,3249.6,97.17,107.77,10.593
1934.0,80.15,9.34,0.9884,0.8068,natural,0.0,5.149,54.13,6.16,52.5,5389.9,319.61,359.13,39.514
3662.4,64.4,-5.78,0.8391,0.685,forced,1.0,2.616,67.26,6.46,24.5,4618.8,232.37,297.13,64.76
5634.7,49.59,-16.99,0.6744,0.5506,forced,1.0,2.929,56.97,7.66,25.5,4252.1,252.0,357.52,105.515
4030.5,61.39,-5.06,0.7978,0.6512,forced,1.0,3.032,40.32,5.94,24.0,4097.2,167.25,210.1,42.85
448.5,96.05,21.67,1.135,0.9265,forced,1.0,5.146,9.67,2.38,28.1,2692.6,74.59,76.04,1.451
2764.1,72.24,-7.42,0.947,0.7731,natural,0.0,3.257,57.11,6.03,61.1,4810.4,204.16,237.23,33.069
5344.9,51.57,-16.21,0.6993,0.5708,forced,1.0,1.809,9.71,3.33,33.8,2087.8,11.31,16.82,5.509
566.8,94.7,25.37,1.1051,0.9021,forced,1.0,6.403,27.38,1.33,30.0,1583.8,215.75,225.77,10.017
5933.3,47.61,-10.07,0.6305,0.5147,forced,1.0,3.612,24.48,8.34,23.2,4427.4,140.4,187.95,47.552
5694.4,49.19,-11.91,0.656,0.5355,natural,0.0,1.423,28.22,1.13,59.1,768.2,42.96,57.43,14.466
469.6,95.81,20.17,1.1379,0.9289,natural,0.0,4.621,26.06,6.5,62.7,6646.9,145.08,148.57,3.49
5600.5,49.82,-6.48,0.6509,0.5313,natural,0.0,5.013,58.15,9.89,27.8,5378.2,393.47,550.19,156.722
2178.8,77.75,17.34,0.9323,0.7611,forced,1.0,3.651,14.54,1.33,43.9,1332.1,83.37,91.01,7.639
5068.3,53.53,-13.72,0.7188,0.5868,forced,1.0,4.485,63.75,2.59,62.7,1726.1,424.24,585.54,161.293
2510.3,74.58,-2.13,0.9587,0.7826,forced,1.0,1.784,64.65,7.73,37.5,6196.3,138.21,162.8,24.589
2645.1,73.33,1.18,0.9312,0.7602,forced,1.0,2.897,37.84,1.42,35.8,1338.7,137.7,159.38,21.68
3805.5,63.22,13.84,0.7674,0.6264,forced,1.0,1.722,9.75,8.41,39.0,5760.7,38.26,43.2,4.943
4646.9,56.62,-19.62,0.778,0.6351,forced,1.0,3.007,44.0,0.5,11.8,429.3,170.67,222.77,52.107
202.7,98.91,15.86,1.1923,0.9733,forced,1.0,4.008,61.93,8.95,26.5,9146.5,269.5,274.41,4.914
3558.9,65.27,-11.61,0.8693,0.7097,forced,1.0,3.322,23.13,1.13,48.4,990.4,89.51,106.07,16.56
1120.4,88.57,13.47,1.0765,0.8788,natural,0.0,4.181,63.16,9.26,63.2,8528.6,295.16,318.05,22.885
2075.7,78.75,-0.71,1.007,0.822,forced,1.0,3.66,51.42,8.71,41.3,7255.8,219.42,247.38,27.965
2087.8,78.63,5.78,0.9821,0.8017,forced,1.0,2.612,74.07,5.63,20.5,4879.1,236.63,275.48,38.852
2814.4,71.78,-9.99,0.9502,0.7757,forced,1.0,1.617,62.2,7.89,33.5,6099.0,113.29,135.67,22.384
2004.8,79.45,10.67,0.9751,0.796,forced,1.0,2.24,16.71,1.21,37.0,1248.1,55.6,59.74,4.139
644.2,93.82,23.15,1.1031,0.9005,forced,1.0,1.944,34.78,1.78,18.4,2040.4,96.67,100.98,4.307
873.8,91.26,12.02,1.1149,0.9101,natural,0.0,4.832,9.56,4.01,28.1,4111.1,60.42,61.33,0.905
200.6,98.94,17.89,1.1843,0.9668,forced,1.0,5.474,7.09,5.61,34.5,5984.6,57.74,58.01,0.275
2821.5,71.71,0.68,0.9124,0.7448,natural,0.0,4.906,53.54,8.75,24.4,6690.3,305.07,357.24,52.17
5726.7,48.97,-16.14,0.6638,0.5419,natural,0.0,4.469,68.64,5.66,29.5,3201.9,400.62,572.83,172.21
694.1,93.26,15.26,1.1265,0.9196,forced,1.0,2.555,73.07,6.82,25.2,6773.5,214.89,227.65,12.766
5677.6,49.3,-12.3,0.6584,0.5375,natural,0.0,4.853,21.74,6.96,43.7,3880.9,131.63,165.38,33.753
4400.2,58.49,-1.2,0.7493,0.6117,natural,0.0,4.249,16.73,8.84,41.8,5615.3,89.69,104.76,15.071
3825.0,63.06,-9.75,0.834,0.6808,natural,0.0,1.067,42.9,7.88,40.3,5418.3,45.74,56.96,11.215
3871.7,62.68,-7.02,0.8205,0.6698,natural,0.0,5.973,16.66,9.78,15.3,6552.4,114.6,130.71,16.113
4960.4,54.31,-6.83,0.7104,0.5799,natural,0.0,1.256,23.6,0.69,20.1,545.3,32.09,40.82,8.729
641.5,93.85,7.3,1.1658,0.9517,forced,1.0,3.665,63.12,2.47,16.1,2734.1,248.0,256.75,8.741
3028.5,69.85,-11.51,0.9301,0.7593,forced,1.0,3.724,61.16,9.34,13.5,6931.4,272.45,326.99,54.545
4182.5,60.19,-5.83,0.7843,0.6403,natural,0.0,5.571,67.34,8.03,23.6,5282.4,463.01,601.01,138.0
3520.9,65.59,0.09,0.8362,0.6826,forced,1.0,6.004,37.2,3.04,20.7,2385.4,303.29,369.59,66.299
4996.7,54.04,-16.81,0.7345,0.5995,forced,1.0,6.156,43.18,9.76,49.9,5716.5,383.42,505.13,121.707
433.6,96.22,13.71,1.1686,0.9539,forced,1.0,4.047,58.25,8.76,48.3,8747.7,258.54,266.28,7.746
4144.2,60.49,-11.5,0.8054,0.6574,forced,1.0,4.671,19.47,1.11,21.1,911.5,115.67,139.53,23.863
3204.2,68.31,-6.03,0.8908,0.7272,forced,1.0,1.305,62.09,8.21,19.1,6043.0,98.48,122.01,23.536
2275.0,76.82,9.37,0.9472,0.7732,forced,1.0,3.581,3.28,7.95,18.0,6531.3,23.81,24.96,1.154
2041.6,79.08,-0.35,1.0099,0.8244,forced,1.0,5.918,60.23,2.6,27.6,2452.9,415.6,472.01,56.407
3725.0,63.88,-5.81,0.8324,0.6795,forced,1.0,3.397,58.64,6.86,26.2,4836.4,265.59,337.08,71.489
5346.0,51.57,-20.18,0.7101,0.5797,forced,1.0,1.197,24.03,9.72,11.6,5460.0,24.3,35.67,11.372
2977.1,70.31,-8.08,0.9241,0.7544,forced,1.0,1.944,55.14,6.92,41.2,5317.4,126.2,151.55,25.355
4948.3,54.39,-6.94,0.7118,0.5811,natural,0.0,3.248,17.62,8.23,59.4,4932.0,68.15,81.73,13.58
2412.9,75.5,1.2,0.9587,0.7826,natural,0.0,2.154,44.06,1.44,39.6,1394.0,108.48,122.29,13.803
614.4,94.16,17.14,1.13,0.9224,forced,1.0,3.036,53.14,7.41,13.5,7367.2,189.25,198.6,9.347
369.0,96.97,8.55,1.1992,0.9789,forced,1.0,2.698,54.17,2.45,43.0,2785.5,157.22,158.89,1.669
308.0,97.68,13.55,1.1869,0.9689,forced,1.0,2.618,73.75,1.18,36.7,1467.2,211.57,216.09,4.52
2280.9,76.76,9.71,0.9454,0.7717,forced,1.0,1.32,15.29,5.74,59.9,4865.2,34.53,37.41,2.877
2023.4,79.26,22.37,0.9344,0.7628,forced,1.0,5.831,37.1,7.63,30.0,6472.6,291.04,332.92,41.872
4307.6,59.21,-19.86,0.8143,0.6647,forced,1.0,4.748,66.25,5.69,51.4,3820.2,416.25,543.13,126.876
4456.9,58.06,-10.18,0.7691,0.6278,natural,0.0,4.353,42.99,9.35,12.1,5869.4,226.02,283.9,57.885
305.1,97.71,20.49,1.1593,0.9463,natural,0.0,4.257,65.98,7.11,49.7,7336.8,309.2,319.8,10.597
1326.7,86.37,7.68,1.0714,0.8746,forced,1.0,3.06,33.69,1.62,12.3,1736.6,122.42,130.99,8.564
1645.6,83.06,14.4,1.0062,0.8214,forced,1.0,5.493,60.06,9.38,29.0,8139.3,400.54,453.36,52.823
